id_usuario,titulo_libro,estado,fecha
3,El Quijote,prestado,2025-04-30 10:21:56
3,El Quijote,prestado,2025-04-30 10:21:57
3,El Quijote,prestado,2025-04-30 10:22:25
2,Breve Historia del Tiempo,prestado,2025-04-30 10:43:17
3,Cien Años de Soledad,prestado,2025-04-30 10:43:24
2,Breve Historia del Tiempo,prestado,2025-04-30 10:48:38
Carlos Sánchez,Breve Historia del Tiempo,2025-04-30 10:49:10.222020,2025-05-30 10:49:10.222020
Carlos Sánchez,El Quijote,2025-04-30 10:49:17.524036,2025-05-30 10:49:17.524036
Juan Pérez,Breve Historia del Tiempo,2025-04-30 10:49:27.019634,2025-05-30 10:49:27.019634
Carlos Sánchez,El Quijote,2025-04-30 10:52:38.937840,2025-05-30 10:52:38.937840
Carlos Sánchez,Cien Años de Soledad,2025-04-30 10:52:44.730919,2025-05-30 10:52:44.730919
